Part,Value,Device,Package,Description,DIS,DPN,MANUFACTURER_PART_NUMBER,MFR,MPN,PROD_ID,SF_ID,VALUE,VENDOR
C1,1u,C-EU0603-B-NOSILK,.0603-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C2,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C3,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C4,1u,C-EU0603-B-NOSILK,.0603-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C5,1u,C-EU0603-B-NOSILK,.0603-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C6,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C7,10u,C-EU0805-B-NOSILK,.0805-B-NOSILK,"CAPACITOR, European symbol",,,,,,,,,
C8,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C9,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C10,1u,C-EU0603-B-NOSILK,.0603-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-1001-1-ND,,Samsung,CL05B104KO5NNNC,,,,
C11,20p,C-EU0402-B-NOSILK,.0402-B-NOSILK,"CAPACITOR, European symbol",Digi-Key,1276-6601-1-ND,,Samsung,CL05C200JB51PNC,,,,
C12,22u,C-EU0805-B-NOSILK,.0805-B-NOSILK,"CAPACITOR, European symbol",,,,,,,,,
