"Part";"Value";"Device";"Package";"Description";"";
"C1";"1u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";
"C2";"NP";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C5";"1u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C7";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C10";"1u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C11";"20p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C12";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";
"C16";"20p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"C22";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"";
"CM1";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-073300-003X";"";"";
"CM2";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-073300-003X";"";"";
"CM3";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-073300-003X";"";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"D3";"AMBER";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"D4";"AMBER";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";
"J1";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"";"";
"J2";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";
"J3";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";
"J4";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";
"J5";"";"6_PIN_SERIAL_TARGETSILK";"6_PIN_SERIAL_TARGET_SIDE_W_SILK";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";
"J6";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"";"";
"J7";"FTSH-105-XX-X-DV-K";"FTSH-105-XX-X-DV-K";"CON10_2X5_DUK_FTSH";"";"";
"J8";"SD_CARD_SOCKET";"SD_CARD_SOCKET";"SD";"SD Memory Card Connector (standard "large" size)";"";
"JP1";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"JP2";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"JP3";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP5";"";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP6";"";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP8";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP9";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP10";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"L2";"6.8u";"L-ECS-MPI4040";"ECS-MPI4040";"";"";
"Q1";"MOSFET-PCH-SOT23-6";"MOSFET-PCH-SOT23-6";"SOT23-6";"P channel MOSFET in an SOT23-6";"";
"Q3";"MOSFET-PCH-SOT23-6";"MOSFET-PCH-SOT23-6";"SOT23-6";"P channel MOSFET in an SOT23-6";"";
"Q4";"MOSFET-PCH-SOT23-6";"MOSFET-PCH-SOT23-6";"SOT23-6";"P channel MOSFET in an SOT23-6";"";
"Q5";"PMV45EN";"PMV45EN";"SOT23";"";"";
"Q6";"PMV45EN";"PMV45EN";"SOT23";"";"";
"R1";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R2";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R3";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R4";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R6";"3.1k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R7";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R8";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R9";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R10";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R11";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R12";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R13";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R17";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R24";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R27";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R28";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R29";"100m";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R30";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R31";"0";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R32";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R33";"0";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R34";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R35";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R36";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R37";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"R38";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"";
"TP2";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"";"";
"TP3";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"";"";
"TP6";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"";"";
"TP8";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"";"";
