EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.,,,,,,,
List of signals with length and its max. frequency / current,,,,,,,,
exported from /home/mc/Documents/Capstone Eagle/oresat-c3-v1.brd,,,,,,,,
at 1/23/20 12:18 PM,,,,,,,,
Signal,f max. [MHz],l [mm],l[mil],A [mm2],R [mOhm],w min [mm],w max [mm],Imax [A]
!CB_FLT,82093.72,3.652,143.779527559055,0.007,9.08,0.2,0.2,0.64
!OPD_ENABLE,8635.43,34.717,1366.81102362205,0.007,86.3,0.2,0.2,0.64
!SD,9012.18,33.266,1309.68503937008,0.007,82.69,0.2,0.2,0.64
3.3V,2498.95,119.97,4723.22834645669,0.004,469.62,0.127,0.6,0.42
ANTN1,71305.63,4.204,165.511811023622,0.012,5.97,0.35,0.35,1.08
ANTN2,71305.63,4.204,165.511811023622,0.012,5.97,0.35,0.35,1.08
ANTP2,58733.22,5.104,200.944881889764,0.012,7.25,0.35,0.35,1.08
ANTP3,62586.54,4.79,188.582677165354,0.012,6.8,0.35,0.35,1.08
ANTP4,58733.22,5.104,200.944881889764,0.012,7.25,0.35,0.35,1.08
ANTP5,62712.96,4.781,188.228346456693,0.012,6.79,0.35,0.35,1.08
AUX_!SHUTDOWN,30374.39,9.87,388.582677165354,0.011,16.36,0.3,0.5,0.93
AUX-1,30687.77,9.769,384.606299212598,0.011,16.19,0.3,0.5,0.93
AUX-2,32495.92,9.226,363.228346456693,0.011,15.29,0.3,0.5,0.93
AUX-3,40405.05,7.42,292.125984251969,0.011,12.3,0.3,0.5,0.93
AUX-4,45018.41,6.659,262.165354330709,0.011,11.04,0.3,0.5,0.93
AUX-5,48879.53,6.133,241.456692913386,0.011,10.16,0.3,0.3,0.93
AUX-6,49613.55,6.043,237.913385826772,0.011,10.01,0.3,0.5,0.93
AUX-7,45585.48,6.577,258.937007874016,0.011,10.9,0.3,0.5,0.93
AUX-8,40219.05,7.454,293.464566929134,0.011,12.35,0.3,0.5,0.93
AUX-9,34526.55,8.683,341.850393700787,0.011,14.39,0.3,0.5,0.93
BOOT0,38326.13,7.822,307.952755905512,0.007,19.14,0.203,0.203,0.65
CAN1_H,7074.16,42.38,1668.50393700787,0.005,138.25,0.152,0.25,0.5
CAN1_L,6934.2,43.235,1702.16535433071,0.007,107.47,0.2,0.25,0.64
CAN1_RX,16284.03,18.411,724.842519685039,0.007,45.76,0.2,0.2,0.64
CAN1_SHDN,14142.38,21.199,834.606299212599,0.005,69.15,0.152,0.2,0.5
CAN1_SILENT,12524.73,23.937,942.40157480315,0.005,78.08,0.152,0.2,0.5
CAN1_TX,14388.42,20.836,820.314960629921,0.007,51.79,0.2,0.2,0.64
CAN2_H,13774.07,21.766,856.929133858268,0.007,54.1,0.2,0.305,0.64
CAN2_L,14515.41,20.654,813.149606299213,0.005,67.37,0.152,0.305,0.5
CAN2_RX,17566.01,17.067,671.929133858268,0.005,55.67,0.152,0.2,0.5
CAN2_SHDN,17165.22,17.466,687.637795275591,0.005,56.97,0.152,0.2,0.5
CAN2_SILENT,21496.01,13.947,549.094488188976,0.007,34.67,0.2,0.2,0.64
CAN2_TX,20234.03,14.817,583.346456692913,0.005,48.33,0.152,0.2,0.5
CB_IOUT,55465.28,5.405,212.795275590551,0.007,13.44,0.2,0.2,0.64
CB_IOUT_IN,7522.94,39.851,1568.93700787402,0.007,99.06,0.2,0.2,0.64
CLKN1,167021.85,1.795,70.6692913385827,0.007,4.46,0.2,0.2,0.64
CLKN2,167021.85,1.795,70.6692913385827,0.007,4.46,0.2,0.2,0.64
CLKP1,137660.76,2.178,85.748031496063,0.007,5.41,0.2,0.2,0.64
CLKP2,137660.76,2.178,85.748031496063,0.007,5.41,0.2,0.2,0.64
CRYSTALIN,49798.33,6.02,237.007874015748,0.007,14.96,0.2,0.254,0.64
CRYSTALOUT,66155.44,4.532,178.425196850394,0.007,11.26,0.2,0.254,0.64
CS1,37263.07,8.045,316.732283464567,0.007,20,0.2,0.2,0.64
CS2,37263.07,8.045,316.732283464567,0.007,20,0.2,0.2,0.64
EN/UVLO,57432.07,5.22,205.511811023622,0.007,12.98,0.2,0.2,0.64
GND,6434.4,46.593,1834.37007874016,0.004,182.39,0.127,0.6,0.42
IRQ1,45398.37,6.604,260,0.007,16.42,0.2,0.2,0.64
IRQ2,45398.37,6.604,260,0.007,16.42,0.2,0.2,0.64
LEDPWR1,264865.69,1.132,44.5669291338583,0.018,1.13,0.5,0.5,1.52
LEDPWR2,264865.69,1.132,44.5669291338583,0.018,1.13,0.5,0.5,1.52
MISO1,44368.67,6.757,266.023622047244,0.007,16.8,0.2,0.2,0.64
MISO2,44368.67,6.757,266.023622047244,0.007,16.8,0.2,0.2,0.64
MMC_PWR,9749.54,30.75,1210.62992125984,0.004,120.37,0.127,0.2,0.42
MMC_VDD,8230.42,36.426,1434.09448818898,0.004,142.59,0.127,1.27,0.42
MOSI1,46180.46,6.492,255.590551181102,0.007,16.14,0.2,0.2,0.64
MOSI2,46180.46,6.492,255.590551181102,0.007,16.14,0.2,0.2,0.64
N$1,226606.2,1.323,52.0866141732284,0.007,3.29,0.2,0.2,0.64
N$10,239840,1.25,49.2125984251969,0.007,3.11,0.2,0.2,0.64
N$11,152200.39,1.97,77.5590551181103,0.012,2.8,0.35,0.35,1.08
N$12,214527.88,1.397,55,0.007,3.47,0.2,0.2,0.64
